country;rating;visited
Malaysia;2;0
Saint Vincent and The Grenadines;1;1
Rwanda;5;1
Korea, North;5;1
South Sudan;4;0
Sao Tome and Principe;4;0
Croatia;2;1
Iraq;6;0
Iraq;6;0
Curaçao;5;0
Papua New Guinea;1;0
Sint Maarten;4;1
Italy;1;0
Germany;1;0
Bermuda;6;0
Belarus;1;1
Luxembourg;2;1
French Polynesia;2;0
Egypt;2;1
Mauritania;4;1
Maldives;3;0
Andorra;3;0
Germany;2;1
Serbia;1;0
Montenegro;1;1
Micronesia;5;1
Senegal;4;0
Malaysia;2;1
Djibouti;3;1
Tokelau;4;1
United States;4;0
Virgin Islands, British;2;1
Bermuda;3;0
Taiwan;3;1
Estonia;6;1
Uruguay;4;1
Netherlands;6;0
Saint Martin;3;1
Djibouti;6;0
Burundi;3;1
Somalia;6;0
Belarus;1;0
French Guiana;6;0
Greece;3;0
Kiribati;2;1
Comoros;4;0
Moldova;4;1
Zimbabwe;6;1
Mayotte;1;1
Aruba;1;1
Niue;2;0
Cayman Islands;1;1
Solomon Islands;5;1
Mozambique;6;0
Costa Rica;6;0
Samoa;1;0
Uganda;4;1
Thailand;3;0
Korea, South;5;0
Heard Island and Mcdonald Islands;3;1
Kazakhstan;4;1
Colombia;6;0
Libya;2;1
Christmas Island;1;0
Kuwait;2;0
Serbia;1;0
Botswana;2;0
Guernsey;4;0
Saudi Arabia;6;0
Monaco;1;0
France;1;1
Jordan;1;0
Qatar;2;1
French Guiana;1;1
Tajikistan;1;1
Papua New Guinea;1;0
Eritrea;1;0
Poland;6;1
Pakistan;5;0
Pakistan;5;1
Bolivia;6;0
Guinea;1;1
Sao Tome and Principe;3;1
Azerbaijan;1;1
Puerto Rico;3;1
Antigua and Barbuda;4;1
Cuba;1;0
Saint Barthélemy;6;1
Oman;2;1
Malta;4;0
San Marino;6;0
Estonia;2;1
Thailand;5;0
Tunisia;2;1
Hong Kong;6;0
Tajikistan;4;1
Greece;2;0
Bulgaria;1;0
Congo (Brazzaville);5;0
Malta;4;0